os,os_version,url
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-cn-versiya-podderzhivaet-ustanovku-dvuh-nano-sim-nikakih-podarkov-6-256-1267181218/
Android,Android 11.x,https://www.ozon.ru/product/oneplus-smartfon-oneplus-nord-n200-5g-globalnaya-versiya-4-64-gb-siniy-1054300999/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-smartfon-apple-iphone-15-128-gb-kitayskoy-versii-s-displeem-super-retina-1276353079/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-belyy-white-4-512-gb-belyy-932594193/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-chernyy-black-4-128-gb-chernyy-932593659/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-pro-8-256-gb-temno-bezhevyy-1193106034/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-15-pro-max-natural-titanium-naturalnyy-titanium-e-sim-sim-8-512-gb-serebristyy-1486278927/
Android,Android 13.x,https://www.ozon.ru/product/oneplus-smartfon-nord-3-5g-globalnaya-versiya-16-256-gb-zelenyy-1069053018/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-15-pro-max-natural-titanium-naturalnyy-titanium-e-sim-sim-8-1-tb-serebristyy-1486279028/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-smartfon-apple-iphone-15-128-gb-kitayskoy-versii-s-displeem-super-retina-1276351433/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-krasnyy-red-4-128-gb-krasnyy-1200511256/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-krasnyy-red-4-512-gb-krasnyy-932592452/
Android,Android version not specified,https://www.ozon.ru/product/nothing-smartfon-phone-1-globalnaya-versiya-120hz-8-256-gb-chernyy-831327804/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-pro-max-8-512-gb-siniy-1486278969/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-pro-8-256-gb-siniy-1193097214/
Android,Android 13.x,https://www.ozon.ru/product/oneplus-smartfon-nord-ce-3-lite-podderzhka-russkogo-yazyka-google-play-nfc-globalnaya-versiya-8-256-900939173/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-chernyy-black-4-256-gb-chernyy-932639343/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-siniy-blue-4-512-gb-siniy-932588558/
Android,Android 13.x,https://www.ozon.ru/product/oneplus-smartfon-nord-3-5g-16-256-gb-seryy-1069053279/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-zelenyy-green-4-128-gb-zelenyy-930140854/
Android,Android 13.x,https://www.ozon.ru/product/oneplus-smartfon-nord-ce-3-lite-podderzhka-russkogo-yazyka-google-play-nfc-globalnaya-versiya-8-128-900948661/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-siyayushchaya-zvezda-starlight-6-128-gb-belyy-930138715/
Android,Android 13.x,https://www.ozon.ru/product/oneplus-smartfon-nord-ce-3-lite-podderzhka-russkogo-yazyka-google-play-nfc-globalnaya-versiya-8-256-900941671/
Android,Android 13.x,https://www.ozon.ru/product/oneplus-smartfon-nord-ce-3-lite-globalnaya-versiya-8-128-gb-zelenyy-900951890/
Android,Android 12.x,https://www.ozon.ru/product/poco-smartfon-poco-m5s-nfc-mt-kg-95-vosmiyadernaya-64-megapikselnaya-chetyrehyadernaya-kamera-6-43-973997744/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-6-256-gb-chernyy-1255911157/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-fioletovyy-purple-6-128-gb-fioletovyy-930146152/
Android,Android 12.x,https://www.ozon.ru/product/poco-smartfon-poco-x5-pro-5g-8-256-gb-zheltyy-850791323/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-goluboy-blue-6-128-gb-goluboy-930135377/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-temnaya-noch-midnight-6-256-gb-chernyy-930146226/
Android,Android 13.x,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-13-pro-8-256-gb-belyy-1410078685/
Android,Android 13,https://www.ozon.ru/product/tecno-smartfon-pova-5-8-256gb-8-128-gb-chernyy-1314842586/
Android,Android version not specified,https://www.ozon.ru/product/poco-smartfon-poco-m6-pro-globalnaya-versiya-nfc-global-12-512-gb-chernyy-1378623325/
Android,Android version not specified,https://www.ozon.ru/product/poco-smartfon-poco-m6-pro-globalnaya-versiya-nfc-global-12-512-gb-siniy-1378636054/
Android,Android version not specified,https://www.ozon.ru/product/poco-smartfon-poco-m6-pro-globalnaya-versiya-nfc-global-8-256-gb-chernyy-1378581187/
Android,Android 14,https://www.ozon.ru/product/poco-smartfon-x6-pro-rostest-eac-12-512-gb-seryy-1398856570/
Android,Android 13.x,https://www.ozon.ru/product/xiaomi-smartfon-xiaomi-redmi-12-nfc-globalnaya-versiya-podderzhivaet-russkiy-yazyk-4-128-gb-siniy-1065164617/
Android,Android 13.x,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-13-8-128-gb-siniy-1405124496/
Android,Android 13.x,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-13-6-128-gb-siniy-1405126523/
Android,Android 13.x,https://www.ozon.ru/product/infinix-smartfon-note-30-8-128-gb-goluboy-994079851/
Android,Android 13.x,https://www.ozon.ru/product/xiaomi-smartfon-globalnaya-versiya-xiaomi-redmi-note-12s-podderzhivaet-russkiy-yazyk-8-256-1017330195/
Android,Android version not specified,https://www.ozon.ru/product/infinix-smartfon-note-30-8-128-gb-zolotoy-1149984560/
Android,Android 13.x,https://www.ozon.ru/product/infinix-smartfon-note-30-8-256-gb-goluboy-1237286441/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-pro-max-black-titanium-titanovyy-chernyy-1sim-esim-8-256-gb-chernyy-1191927245/
Android,Android version not specified,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-12-pro-global-8-256-gb-temno-seryy-1426589033/
Android,Android 13.x,https://www.ozon.ru/product/xiaomi-smartfon-globalnaya-versiya-xiaomi-redmi-note-12s-podderzhivaet-russkiy-yazyk-google-1256851739/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-128-gb-belyy-641077912/
Android,Android 13.x,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-13-6-128-gb-chernyy-1405071216/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-256-gb-goluboy-1059087400/
Android,Android 13.x,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-13-8-256-gb-chernyy-1405138161/
Android,Android 12.x,https://www.ozon.ru/product/poco-smartfon-m5s-4-128-gb-chernyy-1302040462/
Android,Android 13.x,https://www.ozon.ru/product/realme-smartfon-11-8-128-gb-chernyy-1314983881/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-128-gb-zelenyy-641077854/
,None version not specified,https://www.ozon.ru/product/tecno-smartfon-pova-5-8-128-gb-chernyy-1083389742/
Android,Android 13.x,https://www.ozon.ru/product/tecno-smartfon-pova-5-8-128-gb-siniy-1090852198/
